ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
461996.0,Female,No,35.0,No,Artist,5.0,Low,4.0,Cat_6,C
463331.0,Female,Yes,45.0,Yes,Artist,0.0,Low,3.0,Cat_6,C
462216.0,Female,Yes,42.0,No,Doctor,1.0,Low,2.0,Cat_4,A
462454.0,Male,No,19.0,No,Healthcare,1.0,Low,3.0,Cat_2,D
467010.0,Male,No,26.0,No,Homemaker,9.0,Low,,Cat_6,D
459861.0,Female,Yes,83.0,No,Lawyer,1.0,High,2.0,Cat_6,D
467917.0,Female,No,27.0,Yes,Healthcare,3.0,Low,4.0,Cat_1,D
465572.0,Male,No,32.0,No,Doctor,5.0,Low,1.0,Cat_4,D
460593.0,Female,Yes,28.0,No,Healthcare,1.0,Average,5.0,Cat_3,D
465891.0,Female,Yes,28.0,Yes,Artist,8.0,Low,2.0,Cat_6,A
467442.0,Male,Yes,56.0,Yes,Artist,,Average,2.0,Cat_6,C
462044.0,Female,No,47.0,Yes,Artist,4.0,Low,1.0,Cat_6,B
465686.0,Female,No,22.0,No,Healthcare,0.0,Low,2.0,Cat_6,D
464590.0,Female,No,27.0,Yes,Artist,14.0,Low,3.0,Cat_6,A
466006.0,Female,Yes,49.0,Yes,Artist,1.0,Low,2.0,,C
466152.0,Male,Yes,40.0,No,Engineer,8.0,Low,1.0,Cat_6,A
463156.0,Female,Yes,79.0,No,Lawyer,,High,2.0,Cat_6,A
465729.0,Male,Yes,41.0,Yes,Artist,0.0,Average,4.0,Cat_4,B
462384.0,Female,No,29.0,Yes,Healthcare,,Low,1.0,Cat_7,A
462442.0,Male,No,19.0,No,Healthcare,0.0,Low,4.0,Cat_6,D
464191.0,Female,No,45.0,Yes,Engineer,1.0,Low,1.0,Cat_6,A
462078.0,Female,Yes,61.0,No,Artist,1.0,Average,2.0,Cat_2,B
467873.0,Female,Yes,36.0,Yes,Artist,1.0,Average,2.0,Cat_6,C
461270.0,Male,Yes,40.0,Yes,Artist,1.0,Low,1.0,Cat_3,A
462960.0,Female,Yes,57.0,Yes,Entertainment,0.0,Average,2.0,Cat_6,C
464961.0,Male,Yes,76.0,No,Marketing,1.0,Low,1.0,Cat_4,A
462110.0,Male,Yes,32.0,Yes,Artist,14.0,Average,2.0,Cat_6,B
465769.0,Male,No,25.0,Yes,Healthcare,9.0,Low,4.0,Cat_6,D
462267.0,Male,No,32.0,,Doctor,8.0,Low,2.0,Cat_6,D
465269.0,Female,Yes,45.0,Yes,Artist,1.0,Average,3.0,Cat_3,C
460881.0,Male,Yes,72.0,Yes,Lawyer,1.0,Low,,Cat_4,D
461891.0,Male,Yes,48.0,Yes,Artist,0.0,Average,2.0,Cat_6,C
466935.0,Male,Yes,55.0,Yes,Artist,9.0,Average,2.0,Cat_1,C
464091.0,Male,Yes,74.0,Yes,Lawyer,0.0,High,3.0,Cat_6,D
464535.0,Male,Yes,56.0,Yes,Lawyer,1.0,High,2.0,Cat_6,A
463108.0,Male,Yes,59.0,Yes,Lawyer,7.0,High,2.0,Cat_6,A
461356.0,Male,No,25.0,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
464570.0,Male,Yes,31.0,Yes,Doctor,0.0,Average,2.0,Cat_6,A
464580.0,Male,No,27.0,No,Artist,8.0,Low,4.0,Cat_6,A
465233.0,Male,Yes,57.0,Yes,Artist,0.0,Average,4.0,Cat_6,B
467208.0,Female,Yes,39.0,Yes,Homemaker,,High,2.0,Cat_6,A
459954.0,Male,Yes,27.0,Yes,Healthcare,8.0,Low,2.0,Cat_6,D
460219.0,Female,Yes,51.0,Yes,Entertainment,8.0,Average,2.0,Cat_6,A
460877.0,Female,Yes,47.0,No,Artist,0.0,Average,5.0,Cat_6,B
460191.0,Female,No,33.0,No,Healthcare,8.0,Low,4.0,Cat_6,D
463742.0,Male,Yes,56.0,Yes,Artist,0.0,Average,4.0,Cat_6,C
463691.0,Female,No,33.0,No,Homemaker,0.0,Low,3.0,Cat_6,B
463250.0,Female,No,36.0,Yes,Doctor,0.0,Low,2.0,Cat_6,D
463952.0,Male,Yes,51.0,No,Artist,4.0,Low,3.0,Cat_4,A
461558.0,Male,Yes,45.0,Yes,Engineer,2.0,Average,2.0,Cat_6,C
466567.0,Female,No,49.0,Yes,,1.0,Low,1.0,Cat_6,D
465379.0,Male,No,30.0,No,Healthcare,0.0,Low,4.0,Cat_6,C
463814.0,Female,No,26.0,No,Healthcare,6.0,Low,3.0,Cat_5,D
466938.0,Male,Yes,63.0,Yes,Artist,8.0,Low,1.0,Cat_6,A
460671.0,Male,Yes,35.0,No,Entertainment,8.0,Average,4.0,Cat_3,B
462204.0,Female,No,19.0,No,Marketing,1.0,Low,3.0,Cat_4,A
461671.0,Male,No,32.0,No,Healthcare,7.0,Low,5.0,Cat_6,D
459384.0,Male,Yes,52.0,Yes,Artist,0.0,Average,3.0,Cat_6,C
459905.0,Female,Yes,36.0,Yes,Artist,5.0,Low,2.0,Cat_6,C
464734.0,Female,No,42.0,No,Entertainment,7.0,Low,3.0,Cat_4,D
464125.0,Male,Yes,40.0,No,Doctor,0.0,Average,2.0,Cat_3,D
467434.0,Male,No,39.0,Yes,Entertainment,0.0,Low,3.0,Cat_1,B
460956.0,Female,Yes,47.0,Yes,Artist,1.0,Average,4.0,Cat_3,C
465179.0,Female,Yes,61.0,Yes,Artist,1.0,High,2.0,Cat_6,C
463338.0,Male,Yes,32.0,No,Entertainment,1.0,Low,2.0,Cat_3,D
467066.0,Male,Yes,55.0,No,Artist,0.0,Low,1.0,Cat_6,B
463845.0,Male,Yes,58.0,Yes,Artist,,Average,1.0,Cat_6,D
459976.0,Female,No,38.0,Yes,Artist,0.0,Low,1.0,Cat_6,D
461334.0,Male,Yes,63.0,Yes,Artist,0.0,High,2.0,Cat_6,C
465108.0,Male,Yes,58.0,Yes,Doctor,1.0,Average,2.0,Cat_6,C
462600.0,Male,Yes,30.0,No,Engineer,3.0,Average,3.0,Cat_4,D
464144.0,Male,Yes,60.0,Yes,Artist,0.0,Average,4.0,Cat_6,C
466911.0,Male,Yes,68.0,No,Executive,1.0,High,7.0,Cat_6,B
462806.0,Male,Yes,52.0,No,Artist,0.0,Low,3.0,Cat_4,A
463426.0,Male,Yes,38.0,No,Executive,0.0,High,5.0,Cat_6,A
464065.0,Female,Yes,35.0,Yes,Healthcare,10.0,Low,2.0,Cat_6,B
462979.0,Male,No,18.0,No,Doctor,1.0,Low,2.0,Cat_6,D
462834.0,Male,Yes,30.0,Yes,Homemaker,3.0,Low,2.0,Cat_1,D
460764.0,Male,No,86.0,No,Lawyer,1.0,Low,1.0,Cat_6,D
466466.0,Female,,19.0,No,Healthcare,6.0,Low,5.0,Cat_3,D
460185.0,Male,No,25.0,No,Healthcare,9.0,Low,3.0,Cat_6,D
459749.0,Male,Yes,59.0,Yes,Entertainment,,Low,4.0,Cat_4,A
464406.0,Female,No,39.0,Yes,Artist,0.0,Low,1.0,Cat_6,A
467758.0,Female,Yes,50.0,Yes,Doctor,1.0,Low,,Cat_6,B
462059.0,Male,No,47.0,Yes,Artist,1.0,Low,1.0,Cat_6,C
467905.0,Male,Yes,43.0,Yes,Executive,0.0,High,3.0,Cat_6,D
461177.0,Male,Yes,36.0,No,Executive,8.0,Average,4.0,Cat_1,B
460765.0,Male,Yes,80.0,No,Lawyer,1.0,Low,1.0,Cat_6,D
465386.0,Male,No,36.0,Yes,Artist,0.0,Low,2.0,Cat_2,C
465827.0,Male,No,27.0,No,,2.0,Low,7.0,Cat_4,D
462332.0,Female,Yes,37.0,Yes,Artist,1.0,High,2.0,Cat_7,A
464481.0,Male,Yes,46.0,Yes,Executive,0.0,High,3.0,Cat_6,C
461011.0,Male,Yes,55.0,No,Executive,1.0,High,4.0,Cat_3,B
464749.0,Female,Yes,47.0,No,Engineer,9.0,Average,4.0,Cat_4,B
461094.0,Female,No,28.0,Yes,Healthcare,1.0,Low,3.0,Cat_3,D
462104.0,Male,Yes,39.0,No,Entertainment,9.0,Low,2.0,Cat_3,D
464524.0,Female,Yes,27.0,No,Marketing,1.0,Low,2.0,Cat_6,A
466295.0,Female,Yes,42.0,No,Engineer,0.0,Low,,Cat_6,A
461787.0,Male,Yes,72.0,Yes,Artist,0.0,Average,2.0,Cat_6,C
467857.0,Female,Yes,28.0,Yes,Engineer,0.0,Low,2.0,Cat_6,A
460153.0,Male,No,35.0,Yes,Entertainment,8.0,Low,5.0,Cat_6,C
465215.0,Male,Yes,39.0,Yes,Executive,9.0,High,5.0,Cat_2,A
466746.0,Female,Yes,69.0,Yes,Lawyer,0.0,High,2.0,Cat_6,C
464857.0,Male,No,18.0,No,Healthcare,6.0,Low,4.0,Cat_4,D
459478.0,Male,Yes,46.0,Yes,Artist,,Low,1.0,Cat_6,A
460723.0,Female,Yes,50.0,Yes,Engineer,1.0,High,2.0,Cat_4,B
459853.0,Male,No,30.0,No,Executive,5.0,Low,5.0,Cat_6,A
459390.0,Female,No,41.0,No,Artist,,Low,2.0,Cat_6,B
460410.0,Female,No,39.0,Yes,Artist,3.0,Low,4.0,Cat_6,D
463823.0,Female,No,29.0,No,Marketing,8.0,Low,4.0,Cat_6,D
462008.0,Female,Yes,37.0,Yes,Artist,4.0,Low,4.0,Cat_5,B
459750.0,Female,Yes,39.0,Yes,Engineer,0.0,Average,2.0,Cat_6,A
459880.0,Female,Yes,48.0,Yes,Artist,0.0,Average,5.0,Cat_7,C
459261.0,Female,No,32.0,Yes,Doctor,0.0,Low,3.0,Cat_6,C
465656.0,Male,Yes,78.0,No,Lawyer,1.0,Low,,Cat_6,B
465395.0,Female,Yes,43.0,No,Engineer,0.0,Average,5.0,Cat_4,B
461631.0,Male,No,29.0,No,Marketing,8.0,Low,5.0,Cat_6,C
464904.0,Female,Yes,28.0,No,Engineer,9.0,Average,2.0,Cat_4,A
461740.0,Male,Yes,80.0,Yes,Lawyer,1.0,Low,1.0,Cat_6,B
467092.0,Female,No,28.0,Yes,Healthcare,7.0,Low,4.0,Cat_6,D
464173.0,Male,Yes,71.0,Yes,Artist,6.0,Average,3.0,Cat_6,C
464972.0,Male,Yes,67.0,No,Lawyer,0.0,High,9.0,Cat_4,A
467959.0,Female,No,26.0,No,Engineer,0.0,Low,1.0,Cat_2,A
467688.0,Female,Yes,47.0,Yes,Engineer,0.0,Average,2.0,Cat_6,C
460043.0,Female,Yes,43.0,Yes,Artist,2.0,Average,2.0,Cat_6,B
466590.0,Female,No,27.0,Yes,Healthcare,0.0,Low,4.0,Cat_6,C
461191.0,Female,Yes,45.0,Yes,Marketing,8.0,Low,4.0,Cat_6,D
465662.0,Male,Yes,76.0,No,Executive,1.0,Low,1.0,Cat_6,C
459231.0,Female,Yes,43.0,Yes,Artist,3.0,Average,4.0,Cat_6,C
466495.0,Female,Yes,78.0,Yes,Lawyer,1.0,High,2.0,Cat_6,B
459192.0,Male,Yes,35.0,Yes,Artist,3.0,Average,3.0,Cat_6,C
465710.0,Female,No,49.0,Yes,Artist,1.0,Low,1.0,Cat_6,C
460258.0,Female,No,25.0,Yes,Healthcare,1.0,Low,5.0,Cat_6,D
462813.0,Male,Yes,37.0,No,Executive,0.0,Average,5.0,Cat_6,A
463595.0,Female,No,32.0,No,Healthcare,1.0,Low,5.0,,C
467768.0,Male,Yes,60.0,Yes,Doctor,0.0,Average,2.0,Cat_6,C
465291.0,Female,Yes,45.0,Yes,Artist,5.0,Average,3.0,Cat_6,C
462996.0,Female,Yes,49.0,Yes,Homemaker,9.0,Average,3.0,Cat_6,C
463497.0,Male,No,32.0,Yes,Artist,0.0,Low,5.0,Cat_6,D
465301.0,Female,Yes,40.0,Yes,Artist,0.0,Low,3.0,Cat_3,B
464702.0,Male,Yes,59.0,No,Artist,2.0,Average,2.0,Cat_4,C
459012.0,Male,Yes,48.0,Yes,Artist,3.0,Low,5.0,Cat_6,B
465053.0,Male,Yes,82.0,Yes,Executive,0.0,High,2.0,Cat_6,C
459420.0,Female,Yes,70.0,Yes,Lawyer,0.0,Low,2.0,Cat_6,B
464166.0,Male,No,31.0,Yes,Artist,5.0,Low,2.0,Cat_6,B
458987.0,Female,Yes,72.0,Yes,Lawyer,0.0,High,2.0,Cat_6,C
467745.0,Male,Yes,50.0,Yes,Artist,3.0,Average,4.0,Cat_6,C
464866.0,Female,No,23.0,No,Engineer,11.0,Low,1.0,Cat_3,D
461081.0,Female,No,20.0,No,Healthcare,2.0,Low,6.0,Cat_6,D
467896.0,Female,No,22.0,No,Healthcare,4.0,Low,3.0,Cat_6,D
463991.0,Female,No,31.0,Yes,Engineer,8.0,Low,1.0,Cat_6,A
466620.0,Female,Yes,36.0,Yes,Artist,7.0,Average,2.0,Cat_6,C
462594.0,Male,Yes,52.0,No,Entertainment,,Average,5.0,Cat_4,B
462206.0,Female,No,29.0,Yes,Artist,,Low,1.0,Cat_4,B
460697.0,Male,Yes,40.0,Yes,Artist,4.0,Average,4.0,Cat_6,C
467934.0,Female,No,40.0,Yes,Artist,1.0,Low,1.0,Cat_6,A
460054.0,Male,Yes,38.0,Yes,Artist,,Low,2.0,Cat_6,C
459576.0,Female,Yes,85.0,No,Lawyer,,Low,,,A
467910.0,Female,No,21.0,No,Doctor,1.0,Low,3.0,Cat_7,A
467335.0,Female,Yes,41.0,No,Engineer,4.0,Average,2.0,Cat_6,D
460263.0,Male,Yes,40.0,Yes,Artist,0.0,Low,2.0,Cat_6,B
459340.0,Male,Yes,53.0,Yes,Artist,1.0,Average,3.0,Cat_6,B
465622.0,Female,Yes,42.0,Yes,Artist,5.0,Low,2.0,Cat_6,C
459395.0,Male,Yes,42.0,No,Executive,8.0,Low,2.0,Cat_6,D
467539.0,Male,Yes,48.0,Yes,Artist,,Average,4.0,Cat_7,C
466574.0,Male,Yes,59.0,Yes,Artist,7.0,Low,2.0,Cat_6,C
466544.0,Male,Yes,41.0,Yes,Executive,1.0,Average,3.0,Cat_6,A
463610.0,Female,Yes,31.0,Yes,Artist,0.0,Average,2.0,Cat_6,A
465539.0,Female,Yes,49.0,Yes,Artist,1.0,High,5.0,Cat_6,B
459823.0,Male,Yes,67.0,Yes,Executive,1.0,Low,2.0,Cat_6,A
467614.0,Male,Yes,35.0,No,Artist,4.0,Average,2.0,Cat_6,B
459073.0,Female,No,26.0,Yes,Healthcare,0.0,Low,3.0,Cat_6,C
466065.0,Male,,19.0,No,Healthcare,9.0,Low,3.0,Cat_3,D
464863.0,Female,Yes,25.0,No,Engineer,6.0,Average,8.0,Cat_4,D
460022.0,Female,Yes,39.0,Yes,Healthcare,4.0,Low,2.0,Cat_6,A
459929.0,Male,Yes,63.0,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
466613.0,Male,No,23.0,No,Healthcare,8.0,Low,3.0,Cat_6,D
461149.0,Female,No,23.0,No,Healthcare,0.0,Low,3.0,Cat_3,D
466068.0,Female,Yes,53.0,Yes,Artist,2.0,Low,1.0,Cat_6,C
461513.0,Male,No,33.0,Yes,Doctor,0.0,Low,2.0,Cat_6,B
464761.0,Female,Yes,50.0,No,Engineer,,Average,4.0,Cat_2,B
466236.0,Female,Yes,69.0,Yes,Engineer,0.0,Low,2.0,Cat_4,B
459664.0,Male,No,37.0,Yes,Artist,2.0,Low,1.0,Cat_6,B
461967.0,Female,No,20.0,No,Marketing,3.0,Low,4.0,Cat_7,C
460516.0,Female,,85.0,No,Lawyer,0.0,High,1.0,Cat_3,C
461710.0,Female,Yes,49.0,Yes,Doctor,1.0,Average,4.0,Cat_6,C
462742.0,Male,No,18.0,No,Healthcare,0.0,Low,3.0,Cat_3,D
459528.0,Female,Yes,52.0,Yes,Doctor,0.0,Average,2.0,Cat_6,C
462691.0,Male,Yes,25.0,No,Doctor,,Average,2.0,Cat_4,B
462934.0,Male,Yes,56.0,No,Executive,,High,2.0,Cat_6,A
465837.0,Male,No,62.0,Yes,,0.0,Low,1.0,Cat_6,A
464613.0,Female,No,35.0,,Artist,0.0,Low,3.0,Cat_6,B
467515.0,Male,Yes,28.0,Yes,Engineer,0.0,Average,2.0,Cat_6,A
463429.0,Female,No,28.0,Yes,Artist,7.0,Low,3.0,Cat_6,A
464024.0,Male,No,20.0,No,Healthcare,0.0,Low,5.0,Cat_7,D
460691.0,Female,No,27.0,No,Homemaker,8.0,Low,1.0,Cat_3,D
461825.0,Female,No,56.0,No,Engineer,,Low,1.0,Cat_6,A
467271.0,Male,Yes,45.0,Yes,Artist,4.0,Average,4.0,Cat_6,B
465634.0,Male,No,25.0,Yes,Healthcare,1.0,Low,4.0,Cat_4,B
464801.0,Male,No,40.0,No,Marketing,1.0,Low,1.0,Cat_4,D
459429.0,Female,Yes,25.0,Yes,Healthcare,,Low,2.0,Cat_6,D
459888.0,Female,Yes,74.0,No,Lawyer,,High,2.0,Cat_6,D
463467.0,Female,No,23.0,No,Healthcare,0.0,Low,4.0,,D
462036.0,Female,Yes,67.0,Yes,Lawyer,0.0,High,2.0,Cat_6,B
461282.0,Male,No,21.0,No,Healthcare,0.0,Low,4.0,,D
460448.0,Female,No,38.0,Yes,Artist,9.0,Low,1.0,Cat_3,A
464464.0,Male,No,28.0,No,Healthcare,0.0,Low,4.0,Cat_2,C
462410.0,Female,No,32.0,No,Healthcare,1.0,Low,5.0,Cat_7,B
467252.0,Female,No,33.0,Yes,,0.0,Low,4.0,,D
459756.0,Female,Yes,56.0,No,Lawyer,1.0,High,4.0,Cat_4,B
463789.0,Female,Yes,53.0,Yes,Artist,1.0,Low,2.0,Cat_6,C
466947.0,Male,Yes,57.0,No,Executive,1.0,High,5.0,Cat_6,C
464150.0,Female,Yes,59.0,Yes,Artist,0.0,Average,3.0,Cat_6,C
465693.0,Female,Yes,25.0,Yes,Healthcare,1.0,High,4.0,Cat_4,A
461670.0,Male,Yes,59.0,Yes,Artist,0.0,Average,6.0,Cat_6,C
466768.0,Female,Yes,36.0,Yes,Artist,0.0,Low,4.0,Cat_6,C
461550.0,Male,Yes,37.0,Yes,Entertainment,7.0,Low,2.0,Cat_6,A
462438.0,Male,No,22.0,No,Doctor,1.0,Low,3.0,Cat_2,D
460704.0,Male,Yes,43.0,Yes,Artist,1.0,Low,2.0,Cat_6,B
464884.0,Male,Yes,41.0,Yes,Artist,1.0,Low,2.0,Cat_4,A
467050.0,Female,No,21.0,No,Engineer,0.0,Low,5.0,Cat_2,B
460738.0,Female,No,49.0,No,Engineer,1.0,Low,,Cat_7,A
466176.0,Male,No,38.0,Yes,Doctor,8.0,Low,1.0,Cat_2,B
459488.0,Male,Yes,47.0,No,Artist,,Average,4.0,Cat_6,A
467773.0,Male,Yes,70.0,Yes,Lawyer,1.0,High,3.0,Cat_6,C
465425.0,Female,No,31.0,No,Engineer,1.0,Low,4.0,Cat_6,B
462318.0,Female,Yes,82.0,No,Lawyer,0.0,Average,2.0,Cat_6,A
466078.0,Female,Yes,51.0,No,Executive,,Low,1.0,Cat_6,A
460792.0,Female,No,42.0,No,Homemaker,11.0,Low,,Cat_6,A
460197.0,Male,No,38.0,Yes,Artist,8.0,Low,3.0,Cat_2,A
459375.0,Male,Yes,18.0,No,Executive,0.0,High,4.0,Cat_6,A
463862.0,Male,Yes,50.0,Yes,Artist,6.0,Average,3.0,Cat_6,C
460144.0,Female,No,46.0,Yes,Doctor,1.0,Low,,Cat_3,A
462721.0,Female,Yes,72.0,No,Lawyer,1.0,High,3.0,Cat_6,D
459637.0,Female,No,33.0,No,Engineer,,Low,4.0,Cat_6,C
465809.0,Female,No,25.0,No,Homemaker,1.0,Low,7.0,Cat_4,B
466915.0,Female,Yes,75.0,No,Entertainment,2.0,High,2.0,Cat_2,D
467343.0,Male,No,72.0,Yes,Artist,1.0,Low,1.0,Cat_6,B
466268.0,Female,Yes,72.0,Yes,Artist,0.0,Average,3.0,Cat_4,C
464868.0,Male,Yes,36.0,Yes,Entertainment,6.0,Low,6.0,Cat_4,A
464038.0,Male,Yes,40.0,Yes,Artist,1.0,Low,2.0,Cat_6,A
460176.0,Female,No,28.0,Yes,Entertainment,0.0,Low,4.0,Cat_6,C
462161.0,Female,No,28.0,Yes,Doctor,0.0,Low,3.0,Cat_6,D
464841.0,Male,,19.0,No,Entertainment,0.0,High,3.0,Cat_4,D
464893.0,Male,Yes,43.0,Yes,Artist,0.0,Low,2.0,Cat_4,B
464443.0,Female,Yes,35.0,Yes,Artist,1.0,Average,2.0,Cat_6,B
467619.0,Male,Yes,65.0,Yes,Lawyer,1.0,High,2.0,Cat_6,B
465974.0,Male,Yes,52.0,Yes,Executive,7.0,High,4.0,Cat_4,C
462075.0,Female,No,40.0,Yes,Artist,1.0,Low,1.0,Cat_6,B
459494.0,Female,Yes,69.0,No,Engineer,9.0,Low,3.0,Cat_6,A
466921.0,Female,No,22.0,No,Healthcare,3.0,Low,3.0,Cat_6,D
463544.0,Male,Yes,47.0,Yes,Executive,1.0,Average,4.0,Cat_6,C
461167.0,Male,Yes,29.0,Yes,Marketing,1.0,High,2.0,Cat_3,A
467364.0,Male,Yes,46.0,Yes,Artist,1.0,Average,3.0,Cat_3,C
462408.0,Male,No,32.0,Yes,Artist,1.0,Low,2.0,Cat_6,A
466224.0,Female,No,38.0,Yes,Healthcare,0.0,Low,1.0,Cat_2,C
465151.0,Male,Yes,59.0,Yes,Artist,0.0,Low,1.0,Cat_6,B
467216.0,Female,No,26.0,Yes,Entertainment,1.0,Low,1.0,Cat_6,D
460586.0,Male,No,26.0,Yes,Healthcare,1.0,Low,2.0,Cat_3,A
461197.0,Male,No,28.0,No,Marketing,0.0,Low,1.0,Cat_3,D
462776.0,Female,Yes,53.0,Yes,Engineer,1.0,Average,3.0,Cat_6,C
465058.0,Female,No,43.0,,Entertainment,,Low,1.0,Cat_6,B
464088.0,Male,No,27.0,No,Doctor,1.0,Low,3.0,Cat_6,D
459471.0,Female,No,32.0,No,Artist,,Low,8.0,Cat_6,C
464695.0,Male,No,26.0,No,Engineer,0.0,Low,4.0,Cat_4,D
462331.0,Female,No,31.0,No,Entertainment,0.0,Low,2.0,Cat_6,D
466523.0,Male,Yes,39.0,Yes,Executive,1.0,High,3.0,Cat_3,B
465337.0,Female,Yes,43.0,No,Engineer,1.0,Low,3.0,Cat_7,A
460834.0,Male,Yes,25.0,No,Doctor,1.0,Low,2.0,Cat_1,A
466824.0,Male,Yes,40.0,Yes,Artist,3.0,High,3.0,Cat_6,A
461607.0,Female,Yes,40.0,Yes,Entertainment,7.0,Average,2.0,Cat_3,B
465091.0,Male,Yes,63.0,Yes,Entertainment,,Average,3.0,Cat_6,C
459532.0,Female,Yes,27.0,Yes,Healthcare,,Low,2.0,Cat_6,D
466999.0,Male,No,27.0,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
466597.0,Female,No,19.0,No,Healthcare,1.0,Low,2.0,Cat_6,D
464075.0,Female,Yes,86.0,Yes,Lawyer,0.0,High,2.0,Cat_6,B
463394.0,Male,Yes,41.0,Yes,Marketing,,High,2.0,Cat_6,B
462163.0,Female,Yes,27.0,Yes,Artist,4.0,Average,2.0,Cat_3,C
463895.0,Female,Yes,70.0,No,Doctor,0.0,Average,2.0,Cat_6,B
464767.0,Female,Yes,53.0,No,Engineer,8.0,Average,4.0,Cat_4,B
464763.0,Female,Yes,49.0,No,Engineer,,Average,4.0,Cat_4,B
460718.0,Male,Yes,55.0,No,Executive,3.0,Low,,Cat_4,D
461989.0,Female,,57.0,Yes,Engineer,0.0,Average,4.0,Cat_2,C
466374.0,Male,Yes,83.0,No,Lawyer,,Low,1.0,Cat_4,B
463738.0,Male,Yes,43.0,No,Executive,0.0,High,4.0,Cat_6,A
465967.0,Male,Yes,36.0,No,Doctor,6.0,Low,3.0,Cat_6,A
462260.0,Male,Yes,74.0,Yes,Lawyer,0.0,Low,2.0,Cat_6,C
467234.0,Female,No,30.0,No,Homemaker,0.0,Low,4.0,Cat_6,D
466573.0,Female,No,37.0,Yes,Artist,5.0,Low,2.0,Cat_6,B
463229.0,Female,No,22.0,No,Marketing,0.0,Low,1.0,Cat_5,B
459768.0,Male,No,19.0,No,Healthcare,0.0,Low,4.0,Cat_6,D
462541.0,Male,Yes,70.0,Yes,Engineer,4.0,High,2.0,Cat_6,B
467714.0,Male,Yes,89.0,Yes,Lawyer,13.0,Low,1.0,Cat_6,A
467730.0,Male,No,18.0,No,Healthcare,,Low,4.0,Cat_6,D
459474.0,Male,No,25.0,Yes,Doctor,6.0,Low,1.0,Cat_2,D
460093.0,Female,No,45.0,Yes,Artist,4.0,Low,1.0,Cat_3,A
467865.0,Female,No,35.0,Yes,Artist,3.0,Low,1.0,Cat_4,A
465758.0,Female,Yes,37.0,No,Engineer,7.0,Low,1.0,Cat_4,D
464184.0,Female,Yes,39.0,No,Engineer,4.0,Average,2.0,Cat_6,B
462618.0,Female,No,32.0,Yes,Healthcare,1.0,Low,5.0,Cat_4,D
464226.0,Female,Yes,62.0,Yes,Artist,2.0,Average,3.0,Cat_6,C
465432.0,Female,Yes,58.0,Yes,Engineer,0.0,Average,4.0,Cat_4,B
464087.0,Female,No,32.0,No,Engineer,,Low,4.0,Cat_6,C
466627.0,Male,No,25.0,No,Healthcare,0.0,Low,5.0,Cat_6,C
